Word,Conc.M,Conc.SD
肿瘤,3.96,1.059874
转动,3.115385,1.032547
庄园,4.037037,0.979854
自杀,3.851852,1.09908
走红,2.481481,1.014145
作品,3.777778,1.250641
掰开,4.038462,0.99923
饱和,2.923077,1.055389
保健,3.038462,1.112862
必然,3.192308,1.54969
扁平,3.923077,0.844894
冰川,4.576923,0.757526
颤抖,3.576923,1.172112
陈腐,2.5,1.14208
陈列,3.423077,1.205755
成功,2.538462,1.33359
弛缓,2.64,0.95219
充足,2.807692,1.132051
出战,3.72,0.979796
锄头,4.923077,0.271746
橱窗,4.923077,0.271746
揣摩,2.307692,1.158248
传热,3.04,1.274101
蹉跎,2.08,1.320353
错失,2.92,1.037625
大学,4.32,0.852447
档次,3.0,1.2
荡妇,3.461538,1.028816
到处,2.307692,1.225373
得到,3.230769,1.274604
顶替,3.576923,1.172112
毒药,4.192308,0.895287
废置,3.52,0.87178
芬芳,2.461538,1.207668
粉饰,2.64,1.075484
缝纫,4.115385,0.863802
干爽,3.192308,1.132051
公平,2.538462,1.240347
功能,3.192308,1.200641
构想,2.192308,1.200641
姑息,1.9230770000000001,0.89098
骸骨,4.461538,0.706018
害虫,4.153846,0.833897
和约,3.615385,1.022817
回条,2.842105,1.424514
回信,4.038462,0.870897
婚宴,4.423077,0.702742
火腿,4.923077,0.271746
货币,4.2307690000000004,0.992278
级数,2.833333,1.167184
家具,4.2307690000000004,0.764601
进账,3.269231,1.313246
惊慌,2.269231,0.961569
静音,3.807692,1.132051
酒量,2.346154,0.977438
拘泥,2.076923,0.744208
军事,3.307692,1.123182
看守,3.12,0.881287
客厅,4.5,0.761577
离子,2.64,1.380821
粒子,2.923077,1.521133
粮食,4.04,0.934523
猎物,3.48,1.004988
隆冬,3.04,1.240967
鲁钝,2.208333,0.931533
迷人,2.192308,0.895287
妙龄,2.72,0.936305
摩擦,2.769231,1.069867
年龄,4.153846,0.92487
黏性,3.24,0.925563
篇幅,2.84,1.178983
平原,4.192308,0.849434
起床,4.2307690000000004,0.908083
器皿,4.076923,0.844894
曲线,3.384615,1.328967
娶亲,4.115385,0.816182
